Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	4986.83	20	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
0	5730.49	210	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
1	6106.59	240	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
2	6735.63	270	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
3	7115.37	300	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
4	7379.96	330	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
5	7659.5	360	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
6	7921.23	400	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
7	8212.7	430	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
8	8539.87	460	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
9	8564.15	480	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
10	9070.75	500	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
11	9285.81	520	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
12	9347.9	550	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
13	9384.34	560	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
14	9529.24	590	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
15	9674.15	610	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
16	9674.15	630	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
17	9674.15	660	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
18	9674.15	690	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
19	9674.15	730	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
20	9674.15	750	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
21	9674.15	770	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
22	9674.15	790	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
23	9674.15	820	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
24	9674.15	850	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
25	9674.15	880	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
26	9674.15	910	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
27	9674.15	940	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
28	9674.15	960	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
29	9674.15	990	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
30	9674.15	1010	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
31	9674.15	1040	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
32	9674.15	1060	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
33	9674.15	1090	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
34	9674.15	1100	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
35	9674.15	1130	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
36	9674.15	1160	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
37	9674.15	1190	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
38	9674.15	1210	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
39	9674.15	1230	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
40	9674.15	1240	12	FINITE_HORIZON	LS_RAND	DPOP	25	50.0	0.9	4
