Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	1659.38	320	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
0	1659.38	400	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
1	1659.38	460	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
2	1659.38	480	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
3	1659.38	490	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
4	1659.38	500	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
5	1659.38	510	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
6	1659.38	520	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
7	1659.38	540	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
8	1659.38	550	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
9	1659.38	570	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
10	1659.38	580	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
11	1659.38	600	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
12	1659.38	620	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
13	1659.38	640	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
14	1659.38	650	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
15	1659.38	660	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
16	1659.38	670	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
17	1659.38	690	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
18	1659.38	700	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
19	1659.38	720	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
20	1659.38	720	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
21	1659.38	730	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
22	1659.38	740	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
23	1659.38	750	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
24	1659.38	770	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
25	1659.38	800	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
26	1659.38	810	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
27	1659.38	820	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
28	1659.38	830	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
29	1659.38	850	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
30	1659.38	850	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
31	1659.38	850	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
32	1659.38	870	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
33	1659.38	870	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
34	1659.38	880	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
35	1659.38	890	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
36	1659.38	900	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
37	1659.38	910	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
38	1659.38	920	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
39	1659.38	930	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
40	1659.38	930	11	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
