Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	4534.38	1810	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
0	4602.34	2000	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
1	4639.6	2030	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
2	4714.21	2060	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
3	4832.49	2090	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
4	5137.84	2120	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
5	5355.41	2140	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
6	5435.4	2160	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
7	5435.4	2180	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
8	5435.4	2200	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
9	5435.4	2210	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
10	5435.4	2230	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
11	5435.4	2250	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
12	5435.4	2280	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
13	5435.4	2300	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
14	5435.4	2320	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
15	5435.4	2340	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
16	5435.4	2360	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
17	5435.4	2370	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
18	5435.4	2390	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
19	5435.4	2420	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
20	5435.4	2440	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
21	5435.4	2460	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
22	5435.4	2480	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
23	5435.4	2500	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
24	5435.4	2530	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
25	5435.4	2550	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
26	5435.4	2570	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
27	5435.4	2590	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
28	5435.4	2610	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
29	5435.4	2620	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
30	5435.4	2640	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
31	5435.4	2650	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
32	5435.4	2670	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
33	5435.4	2690	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
34	5435.4	2700	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
35	5435.4	2710	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
36	5435.4	2730	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
37	5435.4	2750	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
38	5435.4	2770	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
39	5435.4	2790	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
40	5435.4	2810	26	FINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
