InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	12173.37	720	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
1	13417.95	900	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
2	12959.28	740	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
3	14183.76	790	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
4	13453.75	1070	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
5	13570.79	1090	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
6	13278.48	880	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
7	12859.5	630	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
8	13769.59	640	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
9	11801.55	560	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
10	12570.47	690	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
11	13804	760	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
12	12631.98	670	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
13	14336.25	740	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
14	13806.1	1070	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
15	12863.68	810	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
16	12356.08	800	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
17	12675.1	860	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
18	12679.73	730	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
19	13984.77	920	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
20	13747.23	920	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
21	13536.76	910	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
22	13093.41	920	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
23	13254.26	1030	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
24	13734.42	830	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
25	13052.98	900	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
26	13226.76	890	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
27	12292.77	680	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
28	13610.48	870	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
29	12267.94	630	LS_RAND	DPOP	FINITE_HORIZON	30	50.0	0.9	4
