InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	18863.32	1050	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
1	18021.58	1060	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
2	18384.05	1140	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
3	18464.97	1030	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
4	18433.01	1030	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
5	18309.48	1120	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
6	18237.76	1080	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
7	18332.8	980	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
8	18076.26	1010	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
9	18244.46	1090	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
10	18467.12	940	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
11	18533.61	910	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
12	18520.2	930	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
13	18248.28	970	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
14	18505.69	1070	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
15	18175.35	1110	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
16	18702.17	930	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
17	18642.52	1100	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
18	18086.99	1250	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
19	18083	1190	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
20	18466.92	1070	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
21	17721.99	780	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
22	17947.05	990	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
23	18216.85	920	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
24	18477.06	990	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
25	18440.73	850	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
26	18498.99	890	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
27	18059.61	970	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
28	18410.16	870	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
29	18192.18	1080	FORWARD	MGM	FINITE_HORIZON	35	50.0	0.9	4
