InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	22107.89	510	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
1	21388.38	1850	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
2	22623.99	2430	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
3	22619.52	1280	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
4	20535.56	1360	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
5	21009.1	1420	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
6	21821.39	1570	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
7	22400.33	1900	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
8	23460.28	1900	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
9	24530.13	2150	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
10	22272.67	2130	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
11	20472.49	1410	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
12	22146.08	2010	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
13	23483.4	2080	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
14	22553.17	1850	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
15	22798.04	1860	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
16	22862.98	2350	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
17	22691.44	1310	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
18	22494.95	2160	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
19	22533.65	1440	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
20	21754.15	1640	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
21	22275.82	1790	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
22	22864.53	1670	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
23	20022.52	1460	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
24	24043.06	2470	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
25	19264.27	1370	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
26	23039.59	1310	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
27	22095.72	1840	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
28	23777.49	1910	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
29	21193.25	1550	LS_SDPOP	MGM	FINITE_HORIZON	40	50.0	0.9	4
