InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	36853.05	1930	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
1	36120.03	2010	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
2	36292.05	1760	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
3	36546.89	1760	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
4	36938.42	1760	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
5	36605.26	1780	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
6	36157.44	1700	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
7	35690.88	1720	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
8	36357.61	1870	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
9	36476.67	1770	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
10	36202.32	1630	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
11	36349.19	1970	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
12	36067.34	2020	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
13	37487.34	1710	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
14	37043.26	1650	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
15	35703.83	1870	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
16	36689.82	1750	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
17	36632.99	1790	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
18	36271.76	1760	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
19	35703.5	1630	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
20	37151.84	1700	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
21	35902.76	1590	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
22	36132.61	1850	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
23	36814.73	1830	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
24	36344.19	1890	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
25	36416.4	1770	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
26	36185.05	2060	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
27	36905	1900	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
28	36085.02	1850	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
29	37496.67	1820	BACKWARD	MGM	FINITE_HORIZON	50	50.0	0.9	4
