Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-648.28	10	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
0	-446.54	100	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
1	85.37	140	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
2	315.36	180	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
3	461.24	220	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
4	643.98	260	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
5	692.52	290	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
6	742.98	320	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
7	888.28	340	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
8	888.28	360	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
9	913.08	380	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
10	913.08	400	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
11	913.08	420	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
12	913.08	430	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
13	913.08	450	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
14	913.08	480	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
15	913.08	510	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
16	913.08	520	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
17	913.08	540	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
18	913.08	540	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
19	913.08	560	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
20	913.08	570	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
21	913.08	590	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
22	913.08	610	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
23	913.08	620	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
24	913.08	640	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
25	913.08	660	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
26	913.08	670	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
27	913.08	680	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
28	913.08	690	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
29	913.08	700	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
30	913.08	720	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
31	913.08	740	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
32	913.08	750	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
33	913.08	770	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
34	913.08	790	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
35	913.08	800	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
36	913.08	820	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
37	913.08	840	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
38	913.08	860	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
39	913.08	870	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
40	913.08	880	5	INFINITE_HORIZON	LS_RAND	DPOP	15	50.0	0.9	4
