Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	60.33	20	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
0	60.33	70	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
1	60.33	90	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
2	60.33	100	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
3	60.33	110	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
4	60.33	120	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
5	60.33	130	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
6	60.33	140	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
7	60.33	150	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
8	60.33	160	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
9	60.33	170	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
10	60.33	170	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
11	60.33	180	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
12	60.33	190	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
13	60.33	190	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
14	60.33	200	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
15	60.33	200	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
16	60.33	210	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
17	60.33	210	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
18	60.33	220	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
19	60.33	230	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
20	60.33	230	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
21	60.33	240	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
22	60.33	240	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
23	60.33	250	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
24	60.33	260	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
25	60.33	270	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
26	60.33	280	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
27	60.33	290	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
28	60.33	290	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
29	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
30	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
31	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
32	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
33	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
34	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
35	60.33	310	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
36	60.33	320	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
37	60.33	320	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
38	60.33	320	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
39	60.33	320	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
40	60.33	330	22	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	4
