Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	181.26	1740	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
0	570.26	1800	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
1	881.51	1850	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
2	1168.16	1910	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
3	1419.74	1980	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
4	1577.61	2020	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
5	1701.12	2040	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
6	1865.42	2050	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
7	1961.12	2080	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
8	2024.56	2100	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
9	2131.48	2120	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
10	2186.32	2150	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
11	2236.09	2160	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
12	2236.09	2180	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
13	2236.09	2210	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
14	2236.09	2230	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
15	2236.09	2250	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
16	2236.09	2270	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
17	2236.09	2280	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
18	2236.09	2300	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
19	2236.09	2320	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
20	2236.09	2340	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
21	2236.09	2360	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
22	2236.09	2380	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
23	2236.09	2400	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
24	2236.09	2420	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
25	2236.09	2440	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
26	2236.09	2460	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
27	2236.09	2480	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
28	2236.09	2490	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
29	2236.09	2500	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
30	2236.09	2530	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
31	2236.09	2540	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
32	2236.09	2560	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
33	2236.09	2570	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
34	2236.09	2590	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
35	2236.09	2600	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
36	2236.09	2600	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
37	2236.09	2620	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
38	2236.09	2640	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
39	2236.09	2670	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
40	2236.09	2690	19	INFINITE_HORIZON	LS_SDPOP	MGM	20	50.0	0.9	4
