InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1167.06	350	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
1	1081.68	390	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
2	1049.21	460	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
3	1515.1	390	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
4	1401.4	440	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
5	1290.59	390	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
6	1264.54	430	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
7	911.43	350	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
8	1550.56	420	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
9	1336.4	370	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
10	1107.14	360	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
11	1322.43	320	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
12	1306.37	380	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
13	1413.63	380	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
14	1469.65	300	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
15	1352.92	370	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
16	1115.7	410	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
17	1148.94	320	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
18	1128.12	410	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
19	913.8	380	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
20	1123.67	370	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
21	1367.61	420	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
22	1164.18	410	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
23	1345.75	420	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
24	1610.44	380	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
25	1180.46	530	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
26	1236.59	360	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
27	1619.12	350	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
28	1151.44	430	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
29	1479.27	340	LS_SDPOP	MGM	INFINITE_HORIZON	15	50.0	0.9	4
