InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	2528.2	370	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
1	2173.73	330	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
2	2208.82	310	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
3	2342.17	460	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
4	2187.46	440	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
5	1902.11	420	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
6	2159.02	410	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
7	2435.89	390	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
8	2538	410	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
9	2101.96	280	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
10	2077.07	350	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
11	2391.23	450	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
12	2031.87	400	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
13	2231.52	320	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
14	2036.86	390	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
15	2305.92	370	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
16	2406.17	460	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
17	2230.15	320	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
18	2071.87	310	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
19	2153.49	270	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
20	2285.96	340	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
21	2521.34	360	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
22	2154.46	350	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
23	2197.66	370	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
24	2224.32	360	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
25	2101.9	290	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
26	2052.66	380	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
27	2219.34	380	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
28	2133.03	310	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
29	2237.88	350	FORWARD	MGM	INFINITE_HORIZON	20	50.0	0.9	4
