InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	7754.52	1050	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
1	7437.58	1010	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
2	7559.89	1160	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
3	7428.38	980	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
4	7584.88	1080	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
5	7532.11	1070	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
6	7499.92	1100	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
7	7847.7	880	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
8	7432.63	1100	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
9	7508.44	1060	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
10	7588.45	1090	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
11	7568.43	1040	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
12	7635.97	1070	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
13	7500.48	1050	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
14	7614.31	1090	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
15	7484.3	1220	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
16	7693.14	1040	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
17	7667.65	1060	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
18	7472.64	1160	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
19	7436.49	1090	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
20	7595.17	1000	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
21	7289.46	930	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
22	7379.91	1060	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
23	7480.07	990	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
24	7602.07	1030	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
25	7590.59	850	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
26	7618.88	960	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
27	7501.3	1080	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
28	7551.31	1040	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
29	7483.85	1090	BACKWARD	MGM	INFINITE_HORIZON	35	50.0	0.9	4
