InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	13329.66	1110	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
1	13505.21	1130	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
2	13107.67	750	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
3	13473.33	840	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
4	12075.05	540	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
5	13488.92	900	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
6	13127.62	770	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
7	12459.98	700	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
8	12534.29	700	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
9	13262.57	900	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
10	12429.95	720	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
11	12902.67	800	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
12	12990.9	910	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
13	13608.55	840	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
14	13448.54	790	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
15	13229.82	870	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
16	13463.01	980	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
17	13588.86	940	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
18	11129.49	550	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
19	13209.12	820	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
20	13825.25	870	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
21	11771.53	780	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
22	13529.9	950	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
23	13408.42	770	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
24	12580.47	720	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
25	12563.65	650	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
26	12719.66	770	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
27	11983.56	770	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
28	11101.81	510	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
29	12105.34	760	LS_RAND	DPOP	INFINITE_HORIZON	50	50.0	0.9	4
