Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	1869.3	120	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
0	1869.3	210	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
1	1869.3	270	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
2	1869.3	310	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
3	1869.3	310	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
4	1869.3	330	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
5	1869.3	340	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
6	1869.3	360	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
7	1869.3	370	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
8	1869.3	380	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
9	1869.3	390	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
10	1869.3	410	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
11	1869.3	440	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
12	1869.3	450	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
13	1869.3	450	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
14	1869.3	480	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
15	1869.3	490	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
16	1869.3	500	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
17	1869.3	510	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
18	1869.3	540	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
19	1869.3	550	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
20	1869.3	570	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
21	1869.3	590	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
22	1869.3	600	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
23	1869.3	610	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
24	1869.3	620	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
25	1869.3	630	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
26	1869.3	640	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
27	1869.3	650	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
28	1869.3	670	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
29	1869.3	680	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
30	1869.3	700	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
31	1869.3	720	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
32	1869.3	730	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
33	1869.3	750	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
34	1869.3	760	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
35	1869.3	780	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
36	1869.3	790	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
37	1869.3	800	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
38	1869.3	810	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
39	1869.3	830	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
40	1869.3	830	65	FINITE_HORIZON	LS_SDPOP	DPOP	10	50.0	0.9	4
