InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1812.2	320	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
1	1895.24	430	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
2	1770.69	110	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
3	1892.75	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
4	1962.37	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
5	1954.13	270	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
6	1711.78	600	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
7	1563.16	330	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
8	1756.97	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
9	1841.83	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
10	1836.17	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
11	1753.21	410	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
12	1861.13	290	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
13	1835.35	80	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
14	1840.78	410	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
15	1784.68	140	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
16	1729.22	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
17	1752.39	410	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
18	1853.87	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
19	1513.92	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
20	1814.16	180	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
21	1893.84	320	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
22	1908.74	710	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
23	1961.17	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
24	1628.8	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
25	1973.93	200	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
26	1809.77	320	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
27	1636.79	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
28	1522.15	1140	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
29	1860.57	260	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
30	1480.85	330	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
31	1862.7	220	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
32	1479.03	210	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
33	1922.51	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
34	1808.47	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
35	1772.75	370	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
36	1753.08	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
37	1774.45	980	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
38	1415.53	550	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
39	1828.47	350	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
40	1883.16	270	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
41	1797.74	310	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
42	1820.62	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
43	1913.75	570	LS_SDPOP	DPOP	FINITE_HORIZON	10	50.0	0.9	4
