InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	740.01	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
1	707.73	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
2	721.45	280	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
3	706.7	200	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
4	539.51	370	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
5	442.44	360	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
6	604.19	470	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
7	707.17	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
8	744.04	80	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
9	385.08	180	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
10	699.54	920	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
11	690.69	480	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
12	690.52	410	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
13	720.5	170	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
14	703.32	1500	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
15	804.56	390	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
16	653.89	240	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
17	-382.28	220	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
18	681.39	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
19	731.23	200	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
20	701.75	340	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
21	765.95	170	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
22	728.7	200	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
23	688.69	410	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
24	715.29	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
25	677.08	410	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
26	695.7	130	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
27	723.15	170	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
28	683.01	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
29	723.52	150	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
30	436.07	280	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
31	725.11	160	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
32	705.13	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
33	659.98	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
34	733.56	850	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
35	747.36	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
36	694.25	330	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
37	710.16	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
38	746.15	260	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
39	533.55	60	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
40	714.04	400	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
41	690.08	880	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
42	657.79	840	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
43	682.61	230	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
44	732.46	130	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
45	656.88	330	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
46	760.25	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
47	769.72	750	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
48	772.79	360	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
49	772.47	60	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
50	513.96	1350	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
51	509.84	240	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
52	752.89	160	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
53	319	200	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
54	394.99	1000	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
55	735.67	460	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
56	702.32	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
57	723.92	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
58	754.27	890	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
59	725.55	370	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
60	726.59	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
61	568.72	320	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
62	763.79	810	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
63	669.83	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
64	737.44	970	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
65	729.69	960	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
66	28.57	890	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
67	540.46	100	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
68	737.99	400	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
69	730.94	240	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
70	658.8	540	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
71	740	140	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
72	722.1	410	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
73	699.41	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
74	655.02	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
75	736.68	390	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
76	713.55	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
77	547.8	230	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
78	690.53	280	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
79	730.93	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
80	660.96	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
81	743.3	170	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
82	699.68	820	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
83	730.99	500	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
84	766.57	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
85	711.23	260	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
86	719.75	320	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
87	583.11	240	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
88	694.46	240	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
89	711.56	70	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
90	668.63	380	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
91	598.52	400	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
92	493.45	930	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
93	734.51	190	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
94	595.17	880	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
95	719.69	230	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
96	690.77	500	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
97	731.24	60	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
98	679.21	220	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
99	681.64	270	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
