Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-609.59	10	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
0	-298.17	290	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
1	-43.04	420	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
2	11.88	540	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
3	96.89	670	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
4	96.89	790	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
5	96.89	910	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
6	96.89	1030	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
7	96.89	1140	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
8	96.89	1250	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
9	96.89	1370	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
10	96.89	1480	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
11	96.89	1590	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
12	96.89	1710	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
13	96.89	1820	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
14	96.89	1940	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
15	96.89	2050	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
16	96.89	2170	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
17	96.89	2280	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
18	96.89	2400	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
19	96.89	2520	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
20	96.89	2640	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
21	96.89	2760	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
22	96.89	2870	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
23	96.89	2990	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
24	96.89	3120	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
25	96.89	3230	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
26	96.89	3340	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
27	96.89	3450	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
28	96.89	3560	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
29	96.89	3680	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
30	96.89	3780	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
31	96.89	3890	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
32	96.89	4000	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
33	96.89	4130	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
34	96.89	4240	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
35	96.89	4360	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
36	96.89	4470	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
37	96.89	4580	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
38	96.89	4700	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
39	96.89	4810	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
40	96.89	4920	20	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
