Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	480.76	10	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
0	480.76	220	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
1	480.76	260	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
2	480.76	300	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
3	480.76	340	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
4	480.76	380	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
5	480.76	410	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
6	480.76	450	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
7	480.76	490	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
8	480.76	520	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
9	480.76	550	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
10	480.76	590	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
11	480.76	630	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
12	480.76	670	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
13	480.76	720	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
14	480.76	750	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
15	480.76	780	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
16	480.76	820	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
17	480.76	850	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
18	480.76	880	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
19	480.76	910	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
20	480.76	940	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
21	480.76	970	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
22	480.76	1010	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
23	480.76	1040	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
24	480.76	1080	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
25	480.76	1120	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
26	480.76	1150	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
27	480.76	1180	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
28	480.76	1220	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
29	480.76	1250	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
30	480.76	1290	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
31	480.76	1320	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
32	480.76	1360	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
33	480.76	1390	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
34	480.76	1420	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
35	480.76	1460	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
36	480.76	1490	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
37	480.76	1520	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
38	480.76	1550	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
39	480.76	1590	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
40	480.76	1630	1	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
