Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	499.72	240	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
0	499.72	740	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
1	499.72	1110	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
2	499.72	1460	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
3	499.72	1840	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
4	499.72	2200	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
5	499.72	2560	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
6	499.72	2940	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
7	499.72	3310	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
8	499.72	3660	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
9	499.72	4010	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
10	499.72	4410	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
11	499.72	4770	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
12	499.72	5130	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
13	499.72	5510	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
14	499.72	5870	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
15	499.72	6230	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
16	499.72	6580	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
17	499.72	6930	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
18	499.72	7290	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
19	499.72	7640	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
20	499.72	8000	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
21	499.72	8360	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
22	499.72	8700	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
23	499.72	9030	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
24	499.72	9370	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
25	499.72	9720	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
26	499.72	10100	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
27	499.72	10480	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
28	499.72	10830	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
29	499.72	11180	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
30	499.72	11550	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
31	499.72	11920	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
32	499.72	12300	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
33	499.72	12660	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
34	499.72	13040	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
35	499.72	13420	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
36	499.72	13780	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
37	499.72	14170	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
38	499.72	14530	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
39	499.72	14920	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
40	499.72	15280	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	9
