InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	459.25	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
1	487.9	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
2	360.99	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
3	423.67	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
4	484.77	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
5	486.45	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
6	430.38	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
7	440.77	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
8	413.61	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
9	478.57	50	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
10	378.21	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
11	454.23	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
12	441.14	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
13	456.95	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
14	416.12	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
15	416.19	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
16	441.94	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
17	403.95	50	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
18	456.38	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
19	420.81	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
20	397.53	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
21	503.64	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
22	412.01	30	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
23	380	40	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
24	459.08	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
25	472.04	40	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
26	444.63	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
27	446.5	20	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
28	450.72	10	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
29	424.51	40	BACKWARD	MGM	FINITE_HORIZON	5	50.0	0.9	2
