InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	457.12	40	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
1	484.64	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
2	371.19	60	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
3	420.56	70	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
4	482.7	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
5	484.12	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
6	464.46	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
7	441.64	70	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
8	411.08	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
9	476.17	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
10	375.98	80	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
11	450.68	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
12	461.69	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
13	480.12	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
14	420.06	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
15	413.41	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
16	439.73	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
17	401.94	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
18	465.11	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
19	418.58	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
20	249.61	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
21	501.59	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
22	410.64	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
23	399.87	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
24	457.06	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
25	468.49	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
26	443.13	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
27	449.63	40	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
28	448.27	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
29	422.38	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	3
