InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	436.57	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
1	480.8	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
2	361.93	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
3	408.24	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
4	480.3	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
5	481.38	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
6	459.8	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
7	434.16	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
8	408.1	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
9	473.4	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
10	373.35	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
11	446.54	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
12	450.33	60	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
13	476.8	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
14	417.52	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
15	410.06	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
16	437.17	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
17	399.69	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
18	461.22	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
19	416	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
20	392.87	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
21	499.17	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
22	409.04	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
23	397.45	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
24	454.63	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
25	464.42	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
26	441.38	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
27	439.91	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
28	445.36	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
29	419.99	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	6
