InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	454.61	620	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
1	481.08	790	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
2	368.97	630	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
3	407.27	840	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
4	480.48	880	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
5	481.59	630	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
6	460.11	600	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
7	434.62	650	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
8	408.33	650	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
9	473.67	680	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
10	186.02	520	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
11	427.86	590	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
12	458.09	760	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
13	451.08	800	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
14	414.1	730	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
15	410.16	650	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
16	437.4	880	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
17	399.95	850	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
18	52.56	890	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
19	416.22	690	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
20	96.89	720	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
21	499.35	600	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
22	409.16	680	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
23	397.73	890	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
24	454.76	520	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
25	388.3	800	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
26	441.53	710	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
27	446	790	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
28	445.59	750	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
29	420.29	620	LS_RAND	MGM	FINITE_HORIZON	5	50.0	0.9	8
