Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-892.73	20	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
0	-328.19	660	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
1	36.86	1120	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
2	73.22	1570	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
3	199.19	2020	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
4	199.19	2450	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
5	199.19	2880	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
6	199.19	3350	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
7	199.19	3790	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
8	199.19	4240	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
9	199.19	4670	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
10	199.19	5110	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
11	199.19	5590	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
12	199.19	6030	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
13	199.19	6470	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
14	199.19	6910	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
15	199.19	7350	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
16	199.19	7780	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
17	199.19	8240	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
18	199.19	8700	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
19	199.19	9140	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
20	199.19	9610	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
21	199.19	10090	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
22	199.19	10550	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
23	199.19	11010	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
24	199.19	11460	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
25	199.19	11910	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
26	199.19	12360	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
27	199.19	12800	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
28	199.19	13250	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
29	199.19	13690	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
30	199.19	14150	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
31	199.19	14560	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
32	199.19	15020	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
33	199.19	15510	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
34	199.19	15950	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
35	199.19	16380	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
36	199.19	16820	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
37	199.19	17250	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
38	199.19	17680	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
39	199.19	18150	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
40	199.19	18620	22	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	10
