Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-311.45	50	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
0	-183.06	70	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
1	-113.73	70	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
2	-56.91	70	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
3	-9.03	70	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
4	-9.03	80	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
5	-9.03	80	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
6	-9.03	80	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
7	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
8	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
9	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
10	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
11	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
12	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
13	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
14	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
15	-9.03	90	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
16	-9.03	100	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
17	-9.03	100	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
18	-9.03	100	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
19	-9.03	100	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
20	-9.03	100	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
21	-9.03	110	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
22	-9.03	110	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
23	-9.03	110	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
24	-9.03	130	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
25	-9.03	130	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
26	-9.03	140	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
27	-9.03	140	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
28	-9.03	140	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
29	-9.03	140	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
30	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
31	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
32	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
33	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
34	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
35	-9.03	150	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
36	-9.03	160	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
37	-9.03	160	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
38	-9.03	160	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
39	-9.03	160	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
40	-9.03	160	23	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	3
