Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-748.29	310	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
0	-316.69	470	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
1	-70.08	510	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
2	165.28	550	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
3	247.52	600	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
4	253.04	640	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
5	253.04	690	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
6	253.04	720	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
7	253.04	750	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
8	253.04	790	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
9	253.04	830	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
10	253.04	880	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
11	253.04	920	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
12	253.04	960	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
13	253.04	1000	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
14	253.04	1030	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
15	253.04	1060	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
16	253.04	1100	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
17	253.04	1140	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
18	253.04	1190	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
19	253.04	1220	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
20	253.04	1250	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
21	253.04	1290	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
22	253.04	1330	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
23	253.04	1370	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
24	253.04	1410	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
25	253.04	1450	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
26	253.04	1490	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
27	253.04	1530	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
28	253.04	1570	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
29	253.04	1610	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
30	253.04	1650	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
31	253.04	1680	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
32	253.04	1710	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
33	253.04	1760	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
34	253.04	1800	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
35	253.04	1840	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
36	253.04	1880	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
37	253.04	1910	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
38	253.04	1950	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
39	253.04	1990	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
40	253.04	2030	13	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	8
