InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	319.17	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
1	342	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
2	249.89	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
3	287.54	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
4	293.78	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
5	339.53	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
6	320.33	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
7	302.03	70	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
8	290.11	70	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
9	334.29	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
10	265.22	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
11	320.49	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
12	311.6	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
13	338.31	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
14	287.98	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
15	290.72	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
16	308.41	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
17	282.27	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
18	320.7	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
19	294.75	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
20	287.38	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
21	116.23	80	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
22	285.88	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
23	250.53	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
24	319.48	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
25	273.68	70	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
26	269.86	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
27	299.87	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
28	294.97	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
29	297.07	60	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	10
