InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	159.3	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
1	-2.31	30	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
2	41.08	30	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
3	143.35	30	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
4	-50.63	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
5	170.25	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
6	67.66	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
7	34.42	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
8	145.57	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
9	166.84	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
10	-29.36	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
11	-11.18	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
12	-6.46	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
13	86.48	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
14	14.62	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
15	145.01	30	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
16	153.93	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
17	55.67	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
18	164.82	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
19	148.41	30	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
20	18.37	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
21	175.65	70	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
22	-196.75	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
23	5.37	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
24	119.49	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
25	-1.34	40	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
26	19.65	50	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
27	37.19	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
28	-44.16	20	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
29	-28.5	60	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	3
