InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	162.26	330	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
1	250.82	320	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
2	107.24	320	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
3	-2.2	370	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
4	196.51	410	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
5	197.66	380	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
6	242.64	380	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
7	251.3	350	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
8	178.74	330	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
9	243.65	330	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
10	92.54	280	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
11	198.83	320	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
12	187.79	320	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
13	221.57	440	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
14	182.79	460	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
15	202.02	250	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
16	148.3	340	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
17	133.4	450	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
18	-106.94	290	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
19	212.49	350	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
20	24.74	330	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
21	186.67	340	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
22	189.02	280	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
23	113.98	440	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
24	205.99	360	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
25	164.29	420	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
26	223.97	310	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
27	209.26	320	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
28	183.62	360	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
29	118.6	310	LS_RAND	MGM	INFINITE_HORIZON	5	50.0	0.9	8
