InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	302.86	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
1	324.52	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
2	248	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
3	281.66	20	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
4	320.8	20	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
5	322.29	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
6	313.83	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
7	297.54	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
8	275.39	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
9	317.25	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
10	251.76	20	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
11	304.23	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
12	311.42	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
13	321.11	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
14	280.04	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
15	275.85	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
16	292.68	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
17	267.89	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
18	312.21	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
19	279.85	60	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
20	272.71	20	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
21	332.71	20	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
22	271.33	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
23	267.09	60	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
24	303.22	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
25	316.18	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
26	293.97	50	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
27	303.02	40	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
28	299.56	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
29	281.97	30	BACKWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
