Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	20	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
0	-∞	800	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
1	150.48	1350	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
2	449.09	1940	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
3	501.25	2500	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
4	607.8	3070	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
5	704.4	3630	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
6	757.3	4180	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
7	801.76	4730	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
8	897.01	5300	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
9	949.61	5850	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
10	1016.21	6410	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
11	1016.21	6970	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
12	1016.21	7520	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
13	1016.21	8060	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
14	1016.21	8610	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
15	1016.21	9170	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
16	1016.21	9710	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
17	1016.21	10270	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
18	1016.21	10820	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
19	1016.21	11370	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
20	1016.21	11930	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
21	1016.21	12470	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
22	1016.21	13020	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
23	1016.21	13580	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
24	1016.21	14130	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
25	1016.21	14670	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
26	1016.21	15210	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
27	1016.21	15760	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
28	1016.21	16310	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
29	1016.21	16870	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
30	1016.21	17420	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
31	1016.21	17970	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
32	1016.21	18550	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
33	1016.21	19110	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
34	1016.21	19650	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
35	1016.21	20210	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
36	1016.21	20760	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
37	1016.21	21300	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
38	1016.21	21840	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
39	1016.21	22380	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
40	1016.21	22940	19	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	4
