Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	526.17	170	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
0	606.46	360	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
1	739.71	420	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
2	796.11	470	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
3	796.11	520	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
4	796.11	570	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
5	796.11	620	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
6	796.11	670	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
7	796.11	720	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
8	796.11	770	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
9	796.11	830	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
10	796.11	870	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
11	796.11	920	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
12	796.11	970	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
13	796.11	1020	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
14	796.11	1070	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
15	796.11	1140	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
16	796.11	1200	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
17	796.11	1260	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
18	796.11	1320	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
19	796.11	1370	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
20	796.11	1420	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
21	796.11	1470	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
22	796.11	1540	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
23	796.11	1600	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
24	796.11	1660	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
25	796.11	1720	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
26	796.11	1760	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
27	796.11	1820	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
28	796.11	1880	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
29	796.11	1940	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
30	796.11	1990	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
31	796.11	2030	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
32	796.11	2080	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
33	796.11	2130	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
34	796.11	2170	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
35	796.11	2220	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
36	796.11	2270	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
37	796.11	2320	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
38	796.11	2370	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
39	796.11	2410	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
40	796.11	2460	0	FINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
