Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	190	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
0	-210.33	310	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
1	48.31	360	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
2	141.28	380	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
3	291.19	400	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
4	341.05	430	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
5	341.05	460	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
6	341.05	500	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
7	341.05	530	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
8	341.05	550	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
9	341.05	570	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
10	341.05	590	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
11	341.05	610	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
12	341.05	630	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
13	341.05	670	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
14	341.05	690	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
15	341.05	710	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
16	341.05	740	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
17	341.05	760	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
18	341.05	780	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
19	341.05	800	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
20	341.05	820	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
21	341.05	840	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
22	341.05	860	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
23	341.05	880	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
24	341.05	900	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
25	341.05	920	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
26	341.05	940	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
27	341.05	960	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
28	341.05	980	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
29	341.05	1010	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
30	341.05	1030	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
31	341.05	1050	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
32	341.05	1070	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
33	341.05	1090	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
34	341.05	1110	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
35	341.05	1130	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
36	341.05	1150	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
37	341.05	1170	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
38	341.05	1190	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
39	341.05	1210	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
40	341.05	1230	2	FINITE_HORIZON	LS_SDPOP	MGM	4	50.0	0.9	4
