InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
1	-∞	70	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
2	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
3	-∞	40	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
4	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
5	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
6	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
7	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
8	-∞	70	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
9	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
10	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
11	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
12	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
13	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
14	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
15	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
16	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
17	-∞	40	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
18	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
19	-∞	70	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
20	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
21	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
22	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
23	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
24	-∞	70	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
25	-∞	50	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
26	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
27	-∞	60	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
28	-∞	40	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
29	-∞	40	BACKWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
