InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
1	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
2	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
3	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
4	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
5	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
6	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
7	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
8	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
9	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
10	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
11	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
12	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
13	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
14	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
15	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
16	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
17	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
18	-∞	80	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
19	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
20	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
21	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
22	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
23	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
24	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
25	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
26	-∞	50	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
27	-∞	70	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
28	-∞	60	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
29	-∞	40	FORWARD	MGM	FINITE_HORIZON	10	50.0	0.9	4
