InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	741.89	140	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
1	775.92	160	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
2	754.33	130	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
3	765.01	150	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
4	726.49	70	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
5	698.49	90	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
6	770.11	110	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
7	733.44	60	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
8	799.66	130	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
9	720.83	80	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
10	773.62	70	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
11	752.03	110	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
12	871.21	90	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
13	719.79	90	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
14	746.47	150	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
15	739.42	90	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
16	774.42	140	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
17	790.18	130	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
18	771.34	120	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
19	787.69	170	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
20	790.23	80	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
21	782.28	90	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
22	757.51	60	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
23	712.58	80	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
24	697.88	170	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
25	749.97	160	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
26	704.93	140	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
27	806.2	150	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
28	833.36	70	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
29	779.56	80	FORWARD	DPOP	FINITE_HORIZON	6	50.0	0.9	4
