InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	30	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
1	714.19	700	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
2	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
3	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
4	891.56	600	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
5	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
6	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
7	680.93	560	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
8	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
9	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
10	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
11	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
12	344.43	390	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
13	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
14	-∞	30	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
15	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
16	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
17	639.51	570	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
18	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
19	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
20	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
21	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
22	-∞	30	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
23	700.78	390	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
24	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
25	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
26	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
27	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
28	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
29	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	8	50.0	0.9	3
