Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	350	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
0	-∞	490	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
1	-∞	510	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
2	-∞	530	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
3	-∞	550	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
4	-∞	560	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
5	-∞	590	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
6	-∞	610	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
7	-∞	620	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
8	-∞	630	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
9	-∞	650	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
10	-∞	660	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
11	-∞	670	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
12	-∞	690	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
13	-∞	710	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
14	-∞	720	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
15	-∞	730	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
16	-∞	740	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
17	-∞	760	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
18	-∞	760	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
19	-∞	770	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
20	-∞	780	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
21	-∞	790	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
22	-∞	800	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
23	-∞	820	29	INFINITE_HORIZON	LS_RAND	DPOP	10	50.0	0.9	4
