Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	292	550	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
0	292	630	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
1	292	670	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
2	292	700	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
3	292	730	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
4	292	740	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
5	292	750	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
6	292	750	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
7	292	760	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
8	292	770	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
9	292	780	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
10	292	790	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
11	292	810	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
12	292	820	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
13	292	830	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
14	292	850	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
15	292	850	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
16	292	860	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
17	292	870	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
18	292	880	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
19	292	890	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
20	292	900	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
21	292	900	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
22	292	910	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
23	292	920	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
24	292	930	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
25	292	940	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
26	292	950	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
27	292	960	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
28	292	970	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
29	292	980	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
30	292	990	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
31	292	1000	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
32	292	1010	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
33	292	1020	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
34	292	1030	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
35	292	1040	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
36	292	1050	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
37	292	1060	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
38	292	1070	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
39	292	1080	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
40	292	1090	17	INFINITE_HORIZON	LS_SDPOP	DPOP	6	50.0	0.9	3
