Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	470	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
0	-∞	550	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
1	-∞	580	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
2	-∞	600	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
3	-∞	610	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
4	-∞	620	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
5	-∞	630	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
6	-∞	640	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
7	-∞	660	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
8	-∞	670	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
9	-∞	680	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
10	-∞	690	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
11	-∞	700	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
12	-∞	720	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
13	-∞	730	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
14	-∞	740	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
15	-∞	760	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
16	-∞	760	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
17	-∞	770	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
18	-∞	790	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
19	-∞	810	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
20	-∞	830	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
21	-∞	830	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
22	-∞	840	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
23	-∞	860	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
24	-∞	870	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
25	-∞	880	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
26	-∞	890	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
27	-∞	910	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
28	-∞	910	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
29	-∞	920	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
30	-∞	930	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
31	-∞	940	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
32	-∞	950	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
33	-∞	960	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
34	-∞	970	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
35	-∞	980	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
36	-∞	990	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
37	-∞	1000	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
38	-∞	1010	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
39	-∞	1020	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
40	-∞	1030	11	INFINITE_HORIZON	LS_SDPOP	MGM	8	50.0	0.9	4
