InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
1	-∞	70	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
2	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
3	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
4	-∞	70	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
5	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
6	-∞	50	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
7	-∞	50	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
8	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
9	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
10	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
11	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
12	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
13	-∞	50	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
14	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
15	-∞	70	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
16	-∞	70	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
17	-∞	50	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
18	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
19	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
20	-∞	50	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
21	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
22	-∞	30	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
23	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
24	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
25	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
26	-∞	30	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
27	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
28	-∞	40	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
29	-∞	60	BACKWARD	MGM	INFINITE_HORIZON	10	50.0	0.9	4
