InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	60	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
1	-228.81	60	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
2	-0.99	130	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
3	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	30	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
4	0.31	100	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
5	-209.69	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
6	32.09	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
7	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
8	-∞	20	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
9	-5.89	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
10	32.2	120	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
11	-238.09	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
12	-∞	20	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
13	-0.97	140	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
14	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	50	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
15	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	60	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
16	53.89	110	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
17	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	60	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
18	-0.64	110	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
19	136.07	80	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
20	155.9	150	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
21	30.07	120	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
22	-527.56	10	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
23	-∞	20	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
24	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	70	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
25	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	50	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
26	-∞	10	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
27	-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	50	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
28	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
29	-∞	20	LS_SDPOP	MGM	INFINITE_HORIZON	4	50.0	0.9	4
