InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	137.22	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
1	131.02	20	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
2	140.97	60	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
3	141.27	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
4	135.17	80	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
5	132.9	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
6	133.61	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
7	141.39	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
8	133.53	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
9	142.34	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
10	142.5	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
11	139.8	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
12	135.86	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
13	134.45	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
14	129.53	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
15	136.48	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
16	135.42	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
17	131.85	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
18	137.32	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
19	135.32	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
20	136.75	60	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
21	133.67	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
22	131.73	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
23	134.1	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
24	138.26	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
25	142.17	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
26	138.58	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
27	124.53	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
28	136.56	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
29	139.71	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	3
