InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	321.57	140	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
1	331.69	110	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
2	324.3	130	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
3	326.85	130	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
4	312.47	40	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
5	297.54	80	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
6	332.25	150	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
7	317.97	110	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
8	343.99	100	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
9	68.7	50	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
10	213.97	80	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
11	204.39	90	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
12	372.38	90	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
13	115.28	70	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
14	320.08	140	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
15	323.74	60	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
16	333.35	160	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
17	337.74	130	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
18	331.49	80	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
19	193.83	150	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
20	340.06	100	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
21	336.12	60	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
22	324.58	40	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
23	62.85	100	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
24	101.23	140	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
25	80.7	160	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
26	102.95	160	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
27	343.96	180	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
28	357.7	70	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
29	337.5	60	FORWARD	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
