InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-185.49	120	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
1	331.69	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
2	214.48	120	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
3	-334.01	90	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
4	312.47	90	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
5	297.54	90	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
6	332.25	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
7	-16.06	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
8	343.99	70	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
9	307.55	150	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
10	186.66	60	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
11	325.34	120	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
12	372.38	60	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
13	-144.18	70	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
14	320.08	100	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
15	250.32	90	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
16	132.63	150	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
17	337.74	100	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
18	331.49	220	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
19	339.59	180	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
20	340.06	50	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
21	336.12	90	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
22	324.58	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
23	-78.91	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
24	-11.46	180	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
25	25.57	130	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
26	-126.45	70	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
27	343.96	160	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
28	357.7	80	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
29	337.5	70	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
