InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	90	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
1	-∞	160	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
2	-∞	220	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
3	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
4	-∞	100	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
5	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
6	-∞	170	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
7	-∞	90	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
8	-∞	80	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
9	-∞	80	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
10	-∞	130	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
11	-∞	80	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
12	-∞	80	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
13	-∞	160	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
14	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
15	-∞	140	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
16	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
17	-∞	70	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
18	-∞	190	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
19	-∞	210	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
20	-∞	220	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
21	-∞	100	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
22	-∞	210	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
23	-∞	70	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
24	-∞	200	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
25	-∞	100	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
26	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
27	-∞	250	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
28	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
29	-∞	110	LS_RAND	DPOP	INFINITE_HORIZON	8	50.0	0.9	4
