Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	20	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
0	-∞	240	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
1	-∞	310	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
2	211.52	390	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
3	564.03	460	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
4	649.85	530	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
5	700.18	610	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
6	749.78	690	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
7	749.78	780	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
8	749.78	860	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
9	749.78	950	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
10	749.78	1020	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
11	749.78	1110	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
12	749.78	1190	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
13	749.78	1270	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
14	749.78	1340	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
15	749.78	1410	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
16	749.78	1480	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
17	749.78	1550	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
18	749.78	1610	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
19	749.78	1680	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
20	749.78	1750	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
21	749.78	1830	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
22	749.78	1910	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
23	749.78	1980	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
24	749.78	2060	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
25	749.78	2120	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
26	749.78	2190	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
27	749.78	2260	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
28	749.78	2330	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
29	749.78	2410	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
30	749.78	2500	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
31	749.78	2570	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
32	749.78	2640	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
33	749.78	2710	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
34	749.78	2790	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
35	749.78	2860	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
36	749.78	2930	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
37	749.78	3000	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
38	749.78	3070	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
39	749.78	3150	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
40	749.78	3220	21	FINITE_HORIZON	LS_RAND	DPOP	8	50.0	0.9	3
