Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	367.78	30	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
0	367.78	200	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
1	367.78	220	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
2	367.78	240	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
3	367.78	260	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
4	367.78	280	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
5	367.78	310	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
6	367.78	340	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
7	367.78	360	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
8	367.78	380	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
9	367.78	410	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
10	367.78	450	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
11	367.78	470	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
12	367.78	490	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
13	367.78	510	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
14	367.78	530	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
15	367.78	550	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
16	367.78	570	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
17	367.78	600	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
18	367.78	630	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
19	367.78	640	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
20	367.78	660	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
21	367.78	670	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
22	367.78	690	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
23	367.78	710	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
24	367.78	730	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
25	367.78	750	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
26	367.78	780	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
27	367.78	800	24	FINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
