InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	530.22	190	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
1	825.54	150	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
2	820.26	150	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
3	780.23	150	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
4	823.54	1820	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
5	820.83	190	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
6	870.71	420	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
7	792.13	190	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
8	826.56	890	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
9	794.04	200	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
10	834.31	120	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
11	872.17	130	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
12	828.61	100	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
13	787.63	290	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
14	817.17	380	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
15	821.53	640	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
16	811.27	280	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
17	813.66	690	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
18	794.29	2530	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
19	607.22	500	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
20	838.7	160	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
21	849.64	180	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
22	838.09	150	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
23	809.35	1120	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
24	806.7	1610	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
25	832.54	580	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
26	627.99	380	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
27	808.36	200	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
28	831.46	1110	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
29	820.56	470	LS_SDPOP	DPOP	FINITE_HORIZON	6	50.0	0.9	4
