Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	166.54	40	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
0	166.54	110	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
1	166.54	130	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
2	166.54	150	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
3	166.54	170	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
4	166.54	190	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
5	166.54	210	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
6	166.54	220	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
7	166.54	230	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
8	166.54	240	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
9	166.54	250	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
10	166.54	250	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
11	166.54	250	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
12	166.54	260	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
13	166.54	270	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
14	166.54	280	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
15	166.54	290	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
16	166.54	310	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
17	166.54	310	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
18	166.54	320	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
19	166.54	330	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
20	166.54	340	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
21	166.54	340	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
22	166.54	340	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
23	166.54	340	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
24	166.54	350	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
25	166.54	350	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
26	166.54	360	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
27	166.54	370	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
28	166.54	380	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
29	166.54	390	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
30	166.54	400	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
31	166.54	400	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
32	166.54	400	1	INFINITE_HORIZON	LS_SDPOP	DPOP	4	50.0	0.9	4
