InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	161.19	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
1	166.54	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
2	149.2	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
3	153.3	80	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
4	159.77	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
5	153.17	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
6	151.93	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
7	158.01	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
8	157.69	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
9	150.82	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
10	150.74	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
11	150.25	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
12	163.44	60	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
13	146.65	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
14	141.51	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
15	148.33	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
16	164.15	60	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
17	161.97	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
18	151.93	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
19	143.23	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
20	155.9	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
21	149.67	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
22	154.8	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
23	152.68	70	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
24	159.88	40	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
25	152.98	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
26	146.91	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
27	160.35	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
28	161	50	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
29	153.25	30	BACKWARD	DPOP	INFINITE_HORIZON	4	50.0	0.9	4
