InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	239.48	200	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
1	354.29	150	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
2	351.22	170	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
3	179.17	150	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
4	52.2	350	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
5	-220.41	180	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
6	371.82	400	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
7	352.01	220	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
8	-166.3	190	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
9	339.23	150	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
10	357.18	140	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
11	372.23	130	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
12	355.49	120	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
13	-453.42	270	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
14	347.82	390	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
15	353.3	630	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
16	346.67	260	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
17	347.78	640	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
18	119.38	400	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
19	155.33	490	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
20	358.82	140	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
21	361.6	170	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
22	359.24	130	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
23	245.37	180	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
24	-35.6	130	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
25	357.76	610	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
26	169.4	410	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
27	-316.51	240	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
28	355.81	1090	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
29	347.49	440	LS_SDPOP	DPOP	INFINITE_HORIZON	6	50.0	0.9	4
