InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	16462.04	38090	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
1	16446.92	3810	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
2	16542.68	50800	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
3	15597.75	822760	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
4	15590.39	497530	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
5	16039.19	3970	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
6	16270.76	31160	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
7	15737.7	32500	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
8	15732.01	67130	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
9	16262.88	2620	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
10	15805.67	3990	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
11	15188.45	59130	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
12	16633.36	3580	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
13	15841.39	975600	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
14	15175.17	23350	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
15	15505.57	20240	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
16	15420.78	4060	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
17	16555.05	3730	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
18	15950.42	22780	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
19	15074.77	21460	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
20	15679.83	518990	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
21	15628.21	1012650	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
22	16080.1	2970	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
23	15724.94	19590	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
24	15950.02	32560	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
25	16044.84	51920	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
26	15739.82	22000	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
27	15969.84	50050	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
28	16290.81	40200	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
29	15364.23	527170	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
30	16103.41	2530	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
31	15960.44	20010	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
32	15526.05	45450	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
33	15469.23	36860	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
34	15697.2	570270	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
35	15651.17	49200	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
36	15727.22	50460	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
37	16023.05	2740	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
38	15649.51	2490	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
39	15732.91	2510	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
40	15405.95	3280	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
41	14927.69	4080	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
42	15878	38410	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
43	15740.82	1590	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
44	15767.87	5860	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
45	16131.09	21750	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
46	16052.83	20640	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
47	15559.46	22090	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
48	16280.24	23700	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
49	16438.96	4360	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
