InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14072.33	21200	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
1	14547.76	24200	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
2	15586.86	2100	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
3	15055.43	13110	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
4	14298.24	1410	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
5	14142.23	13890	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
6	14113.59	28760	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
7	14860.33	2550	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
8	15038.93	2150	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
9	15302.52	28670	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
10	15466.06	6897440	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
11	14690.19	2790	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
12	14697.69	2480	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
13	14978.02	577250	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
14	14556.38	20160	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
15	14628.41	22950	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
16	15045.79	2170	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
17	15885.08	16840	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
18	14674.83	20090	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
19	14597.13	15000	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
20	15011.58	10450	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
21	14885.99	11100	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
22	14596.05	22760	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
23	14937.62	14150	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
24	15771.7	22720	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
25	15279.73	21170	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
26	14415.18	16190	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
27	15507.17	12190	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
28	14568.52	22710	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
29	15003.15	13780	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
