InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	10438.38	22880	REACT	DPOP	ONLINE	10	10.0	0.9	10
1	11013.67	24920	REACT	DPOP	ONLINE	10	10.0	0.9	10
2	11239.36	2200	REACT	DPOP	ONLINE	10	10.0	0.9	10
3	11203.57	13150	REACT	DPOP	ONLINE	10	10.0	0.9	10
4	10454.69	1490	REACT	DPOP	ONLINE	10	10.0	0.9	10
5	10339.64	13450	REACT	DPOP	ONLINE	10	10.0	0.9	10
6	10038.43	28250	REACT	DPOP	ONLINE	10	10.0	0.9	10
7	11322.53	2750	REACT	DPOP	ONLINE	10	10.0	0.9	10
8	10782.68	2390	REACT	DPOP	ONLINE	10	10.0	0.9	10
9	11706.94	26060	REACT	DPOP	ONLINE	10	10.0	0.9	10
10	11853.21	6924510	REACT	DPOP	ONLINE	10	10.0	0.9	10
11	10772.98	2840	REACT	DPOP	ONLINE	10	10.0	0.9	10
12	11087.84	2580	REACT	DPOP	ONLINE	10	10.0	0.9	10
13	11102.23	567420	REACT	DPOP	ONLINE	10	10.0	0.9	10
14	10600.16	19760	REACT	DPOP	ONLINE	10	10.0	0.9	10
15	10581.79	20890	REACT	DPOP	ONLINE	10	10.0	0.9	10
16	11064.25	2100	REACT	DPOP	ONLINE	10	10.0	0.9	10
17	12288.72	16560	REACT	DPOP	ONLINE	10	10.0	0.9	10
18	10682.87	19840	REACT	DPOP	ONLINE	10	10.0	0.9	10
19	10609.38	13360	REACT	DPOP	ONLINE	10	10.0	0.9	10
20	10579.44	10250	REACT	DPOP	ONLINE	10	10.0	0.9	10
21	11224.94	10790	REACT	DPOP	ONLINE	10	10.0	0.9	10
22	11056.42	22620	REACT	DPOP	ONLINE	10	10.0	0.9	10
23	11067.05	13570	REACT	DPOP	ONLINE	10	10.0	0.9	10
24	11824.42	22680	REACT	DPOP	ONLINE	10	10.0	0.9	10
25	11006.18	20990	REACT	DPOP	ONLINE	10	10.0	0.9	10
26	10586.15	16170	REACT	DPOP	ONLINE	10	10.0	0.9	10
27	12320.52	12210	REACT	DPOP	ONLINE	10	10.0	0.9	10
28	10902.44	22180	REACT	DPOP	ONLINE	10	10.0	0.9	10
29	11234.8	13610	REACT	DPOP	ONLINE	10	10.0	0.9	10
