InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
1	-∞	40	REACT	MGM	ONLINE	10	10.0	0.9	10
2	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
3	-∞	70	REACT	MGM	ONLINE	10	10.0	0.9	10
4	-∞	40	REACT	MGM	ONLINE	10	10.0	0.9	10
5	-∞	110	REACT	MGM	ONLINE	10	10.0	0.9	10
6	-∞	90	REACT	MGM	ONLINE	10	10.0	0.9	10
7	-∞	90	REACT	MGM	ONLINE	10	10.0	0.9	10
8	-∞	90	REACT	MGM	ONLINE	10	10.0	0.9	10
9	-∞	100	REACT	MGM	ONLINE	10	10.0	0.9	10
10	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
11	-∞	90	REACT	MGM	ONLINE	10	10.0	0.9	10
12	-∞	100	REACT	MGM	ONLINE	10	10.0	0.9	10
13	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
14	-∞	60	REACT	MGM	ONLINE	10	10.0	0.9	10
15	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
16	-∞	70	REACT	MGM	ONLINE	10	10.0	0.9	10
17	-∞	60	REACT	MGM	ONLINE	10	10.0	0.9	10
18	-∞	40	REACT	MGM	ONLINE	10	10.0	0.9	10
19	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
20	-∞	60	REACT	MGM	ONLINE	10	10.0	0.9	10
21	-∞	60	REACT	MGM	ONLINE	10	10.0	0.9	10
22	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
23	-∞	90	REACT	MGM	ONLINE	10	10.0	0.9	10
24	-∞	70	REACT	MGM	ONLINE	10	10.0	0.9	10
25	-∞	50	REACT	MGM	ONLINE	10	10.0	0.9	10
26	-∞	80	REACT	MGM	ONLINE	10	10.0	0.9	10
27	-∞	100	REACT	MGM	ONLINE	10	10.0	0.9	10
28	-∞	100	REACT	MGM	ONLINE	10	10.0	0.9	10
29	-∞	50	REACT	MGM	ONLINE	10	10.0	0.9	10
