InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14023.78	21650	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
1	14530.44	24100	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
2	15563.57	1890	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
3	14949.76	13230	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
4	14264.18	1490	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
5	14168.54	14100	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
6	14029.55	29050	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
7	14852.7	2570	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
8	15005.94	2130	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
9	15258.83	28400	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
10	15435.26	6972490	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
11	14642.81	2810	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
12	14688.04	2450	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
13	15004.68	577780	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
14	14587.55	20180	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
15	14693.89	23160	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
16	15035.06	2290	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
17	15832.75	16490	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
18	14667.04	19640	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
19	14609.85	14980	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
20	15060.59	10280	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
21	14882.38	10900	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
22	14578.91	23380	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
23	14881.1	14470	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
24	15835.88	23360	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
25	15253.44	22310	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
26	14423.56	16550	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
27	15528.7	12540	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
28	14540.87	23010	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
29	15010.18	13700	HYBRID	DPOP	ONLINE	10	8.0	0.9	10
