InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	16475.48	38200	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
1	16379.59	3740	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
2	16562.79	50730	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
3	15563.87	823310	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
4	15492.37	500000	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
5	16028.68	3960	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
6	16283.28	31480	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
7	15628.02	32640	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
8	15675.08	67500	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
9	16292.19	2700	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
10	15754.81	3870	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
11	15329.42	59010	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
12	16638.77	3540	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
13	15808.8	979910	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
14	15239.85	24540	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
15	15604.74	20980	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
16	15359.43	4050	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
17	16630.44	4010	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
18	16171.97	24090	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
19	15255.84	23060	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
20	15743.2	541870	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
21	15876.62	1025990	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
22	16066.72	3020	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
23	15676.24	19750	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
24	15886.88	32620	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
25	15987.78	51800	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
26	15853.96	21950	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
27	15930.17	50490	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
28	16222.14	39640	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
29	15375.34	524970	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
30	16085.48	2570	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
31	15907.01	20460	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
32	15537.24	44250	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
33	15460.56	36270	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
34	15833.47	573690	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
35	15730.1	49030	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
36	15786.5	50240	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
37	16078.16	2730	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
38	15654.9	2600	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
39	15716.43	2480	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
40	15381.94	3360	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
41	15046.79	3930	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
42	15908.68	38470	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
43	15916.81	1610	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
44	15844.89	5990	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
45	16203.1	21510	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
46	16088.09	20920	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
47	15547.5	22180	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
48	16468.95	23690	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
49	16395.74	4380	FORWARD	DPOP	ONLINE	10	0.0	0.9	10
