InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	634.5	6610	REACT	DPOP	ONLINE	12	30.0	0.8	4
1	150.72	3720	REACT	DPOP	ONLINE	12	30.0	0.8	4
2	175.99	5480	REACT	DPOP	ONLINE	12	30.0	0.8	4
3	752.82	480	REACT	DPOP	ONLINE	12	30.0	0.8	4
4	98.86	1600	REACT	DPOP	ONLINE	12	30.0	0.8	4
5	609.46	1420	REACT	DPOP	ONLINE	12	30.0	0.8	4
6	571.74	1250	REACT	DPOP	ONLINE	12	30.0	0.8	4
7	529.82	1380	REACT	DPOP	ONLINE	12	30.0	0.8	4
8	400.09	4160	REACT	DPOP	ONLINE	12	30.0	0.8	4
9	420.43	1290	REACT	DPOP	ONLINE	12	30.0	0.8	4
10	617.84	1250	REACT	DPOP	ONLINE	12	30.0	0.8	4
11	620.67	4700	REACT	DPOP	ONLINE	12	30.0	0.8	4
12	458.87	1040	REACT	DPOP	ONLINE	12	30.0	0.8	4
13	650.09	850	REACT	DPOP	ONLINE	12	30.0	0.8	4
14	462.65	4120	REACT	DPOP	ONLINE	12	30.0	0.8	4
15	414.4	1210	REACT	DPOP	ONLINE	12	30.0	0.8	4
16	867.98	4470	REACT	DPOP	ONLINE	12	30.0	0.8	4
17	525.83	8130	REACT	DPOP	ONLINE	12	30.0	0.8	4
18	531.84	9040	REACT	DPOP	ONLINE	12	30.0	0.8	4
19	830.78	3870	REACT	DPOP	ONLINE	12	30.0	0.8	4
20	799.74	500	REACT	DPOP	ONLINE	12	30.0	0.8	4
21	605.26	870	REACT	DPOP	ONLINE	12	30.0	0.8	4
22	62.38	1330	REACT	DPOP	ONLINE	12	30.0	0.8	4
23	38.26	1840	REACT	DPOP	ONLINE	12	30.0	0.8	4
24	-60.73	5950	REACT	DPOP	ONLINE	12	30.0	0.8	4
25	357.83	1220	REACT	DPOP	ONLINE	12	30.0	0.8	4
26	654.08	6700	REACT	DPOP	ONLINE	12	30.0	0.8	4
27	749.76	5410	REACT	DPOP	ONLINE	12	30.0	0.8	4
28	403.79	880	REACT	DPOP	ONLINE	12	30.0	0.8	4
29	667.06	1450	REACT	DPOP	ONLINE	12	30.0	0.8	4
