Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	2.59	10	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
0	333.73	10	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
1	426.95	30	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
2	482.95	30	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
3	482.95	30	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
4	482.95	30	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
5	482.95	30	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
6	482.95	40	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
7	482.95	40	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
8	482.95	40	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
9	482.95	40	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
10	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
11	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
12	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
13	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
14	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
15	482.95	50	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
16	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
17	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
18	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
19	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
20	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
21	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
22	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
23	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
24	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
25	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
26	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
27	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
28	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
29	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
30	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
31	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
32	482.95	60	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
33	482.95	70	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
34	482.95	70	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
35	482.95	70	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
36	482.95	70	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
37	482.95	80	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
38	482.95	80	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
39	482.95	80	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
40	482.95	80	13	FINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	2
