Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-852.37	0	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
0	-263.6	1390	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
1	139.86	2600	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
2	448.34	3850	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
3	448.34	5110	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
4	448.34	6360	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
5	448.34	7620	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
6	448.34	8880	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
7	448.34	10130	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
8	448.34	11380	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
9	448.34	12640	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
10	448.34	13880	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
11	448.34	15130	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
12	448.34	16410	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
13	448.34	17660	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
14	448.34	18940	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
15	448.34	20200	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
16	448.34	21510	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
17	448.34	22810	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
18	448.34	24120	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
19	448.34	25420	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
20	448.34	26690	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
21	448.34	27940	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
22	448.34	29200	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
23	448.34	30480	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
24	448.34	31730	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
25	448.34	32980	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
26	448.34	34240	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
27	448.34	35500	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
28	448.34	36750	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
29	448.34	38030	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
30	448.34	39290	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
31	448.34	40560	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
32	448.34	41830	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
33	448.34	43100	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
34	448.34	44330	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
35	448.34	45590	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
36	448.34	46850	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
37	448.34	48110	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
38	448.34	49380	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
39	448.34	50650	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
40	448.34	51900	11	FINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	10
