Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	464.43	10	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
0	464.43	220	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
1	464.43	260	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
2	464.43	310	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
3	464.43	360	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
4	464.43	410	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
5	464.43	460	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
6	464.43	500	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
7	464.43	540	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
8	464.43	580	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
9	464.43	620	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
10	464.43	660	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
11	464.43	710	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
12	464.43	750	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
13	464.43	790	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
14	464.43	830	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
15	464.43	870	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
16	464.43	920	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
17	464.43	960	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
18	464.43	1010	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
19	464.43	1060	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
20	464.43	1100	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
21	464.43	1150	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
22	464.43	1200	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
23	464.43	1250	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
24	464.43	1290	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
25	464.43	1340	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
26	464.43	1390	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
27	464.43	1430	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
28	464.43	1480	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
29	464.43	1530	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
30	464.43	1580	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
31	464.43	1610	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
32	464.43	1650	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
33	464.43	1690	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
34	464.43	1730	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
35	464.43	1770	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
36	464.43	1810	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
37	464.43	1850	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
38	464.43	1900	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
39	464.43	1940	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
40	464.43	1980	25	FINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	7
