Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	296.98	140	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
0	346.48	150	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
1	401.94	160	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
2	401.94	170	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
3	401.94	180	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
4	401.94	190	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
5	401.94	190	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
6	401.94	190	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
7	401.94	190	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
8	401.94	190	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
9	401.94	200	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
10	401.94	210	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
11	401.94	220	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
12	401.94	230	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
13	401.94	240	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
14	401.94	250	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
15	401.94	250	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
16	401.94	260	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
17	401.94	270	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
18	401.94	270	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
19	401.94	280	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
20	401.94	280	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
21	401.94	290	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
22	401.94	300	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
23	401.94	310	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
24	401.94	310	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
25	401.94	320	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
26	401.94	330	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
27	401.94	330	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
28	401.94	340	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
29	401.94	340	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
30	401.94	350	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
31	401.94	360	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
32	401.94	370	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
33	401.94	370	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
34	401.94	380	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
35	401.94	390	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
36	401.94	390	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
37	401.94	400	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
38	401.94	410	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
39	401.94	410	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
40	401.94	410	17	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	3
